scenario,fpr,tpr
conservative,0.00,0.00
conservative,0.02,0.26
conservative,0.05,0.50
conservative,0.08,0.66
conservative,0.12,0.77
conservative,0.18,0.85
conservative,0.28,0.91
conservative,0.45,0.96
conservative,1.00,1.00
target,0.00,0.00
target,0.01,0.34
target,0.03,0.57
target,0.05,0.71
target,0.08,0.83
target,0.12,0.90
target,0.18,0.95
target,0.28,0.98
target,1.00,1.00
stretch,0.00,0.00
stretch,0.01,0.42
stretch,0.02,0.62
stretch,0.04,0.78
stretch,0.06,0.88
stretch,0.10,0.94
stretch,0.16,0.97
stretch,0.25,0.99
stretch,1.00,1.00
